language,essay,score
kn,"ಕನ್ನಡ ಒಂದು ಪ್ರಾಚೀನ ಭಾಷೆ. ಇದು ೨೦೦೦ ವರ್ಷಗಳ ಇತಿಹಾಸ ಹೊಂದಿದೆ. ಪಂಪ, ರನ್ನ, ಬಸವಣ್ಣ ಮಹಾನ್ ಕವಿಗಳು. ಕನ್ನಡ ಸಾಹಿತ್ಯ ಶ್ರೀಮಂತವಾಗಿದೆ.",8.5
kn,"ತಂತ್ರಜ್ಞಾನ ಶಿಕ್ಷಣವನ್ನು ಬದಲಾಯಿಸಿದೆ. ಆನ್‌ಲೈನ್ ಕಲಿಕೆ ಹೊಸ ಅವಕಾಶಗಳು. ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಇಂಟರ್ನೆಟ್ ಸವಾಲುಗಳು.",7.8
kn,"ಪರಿಸರ ಸಂರಕ್ಷಣೆ ಮುಖ್ಯ. ಮರಗಳನ್ನು ಕಡಿಯುವುದು ತಪ್ಪು. ನೀರಿನ ಮಾಲಿನ್ಯ ತಡೆಯಬೇಕು. ನಮ್ಮ ಭವಿಷ್ಯ ನಮ್ಮ ಕೈಯಲ್ಲಿದೆ.",7.2
kn,"ಕೃಷಿ ಕರ್ನಾಟಕದ ಬೆನ್ನೆಮೂಳೆ. ರೈತರು ದೇಶದ ಅಭಿವೃದ್ಧಿಗೆ ಕಾರಣ. ಆಧುನಿಕ ತಂತ್ರಜ್ಞಾನ ಕೃಷಿಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ.",8.0
kn,"ಯುವಜನರು ದೇಶದ ಭವಿಷ್ಯ. ಶಿಕ್ಷಣ ಮತ್ತು ಉದ್ಯೋಗ ಅವಕಾಶಗಳು ಬೇಕು. ಸರಕಾರ ಯುವಜನ ಕಲ್ಯಾಣಕ್ಕಾಗಿ ಕಾರ್ಯ ಮಾಡಬೇಕು.",7.5
ta,"தமிழ் ஒரு பழமையான மொழி. இது 2000 ஆண்டுகள் வரலாறு கொண்டது. திருவள்ளுவர், கம்பர், இளங்கோ அடிகள் பெரிய கவிஞர்கள். தமிழ் இலக்கியம் சிறப்பானது.",8.5
ta,"தொழில்நுட்பம் கல்வியை மாற்றியது. ஆன்லைன் கற்றல் புதிய வாய்ப்புகள். கிராமப்புறங்களில் இணையம் சவால்கள்.",7.8
ta,"சுற்றுச்சூழல் பாதுகாப்பு முக்கியம். மரங்களை வெட்டுவது தவறு. நீர் மாசுபாடு தடுக்க வேண்டும். எங்கள் எதிர்காலம் எங்கள் கையில்.",7.2
ta,"வேளாண்மை தமிழ்நாட்டின் முதுகெலும்பு. விவசாயிகள் நாட்டின் முன்னேற்றத்திற்கு காரணம். நவீன தொழில்நுட்பம் வேளாண்மைக்கு உதவுகிறது.",8.0
ta,"இளைஞர்கள் நாட்டின் எதிர்காலம். கல்வி மற்றும் வேலைவாய்ப்புகள் தேவை. அரசு இளைஞர் நலனுக்காக வேலை செய்ய வேண்டும்.",7.5
te,"తెలుగు ఒక ప్రాచీన భాష. ఇది 2000 సంవత్సరాల చరిత్ర కలిగిఉంది. నన్నయ, తిక్కన, యథార్థ రాఘవ మహాను కవులు. తెలుగు సాహిత్యం గొప్పది.",8.5
te,"సాంకేతికం విద్యను మార్చింది. ఆన్‌లైన్ నేర్చుకోవడం కొత్త అవకాశాలు. గ్రామీణ ప్రాంతాలలో ఇంటర్నెట్ సవాలులు.",7.8
te,"పర్యావరణ రక్షణ ముఖ్యం. చెట్లను కొట్టడం తప్పు. నీటి కాలుష్యం నిరోధించాలి. మన భవిష్యత్తు మన చేతులలో ఉంది.",7.2
te,"వ్యవసాయం ఆంధ్రప్రదేశ్ వెన్నెముక. రైతులు దేశాభివృద్ధికి కారణం. ఆధునిక సాంకేతికం వ్యవసాయానికి సహాయం చేస్తుంది.",8.0
te,"యువత దేశం భవిష్యత్తు. విద్య మరియు ఉపాధి అవకాశాలు కావాలి. ప్రభుత్వం యువత సంక్షేమం కోసం పని చేయాలి.",7.5
